wavelength, reflectance
389.63,0.213
390.95,0.213
392.27,0.213
393.58,0.213
394.9,0.213
396.22,0.213
397.54,0.213
398.86,0.213
400.17,0.213
401.49,0.213
402.81,0.213
404.13,0.213
405.45,0.213
406.77,0.214
408.08,0.214
409.4,0.214
410.72,0.214
412.04,0.214
413.36,0.214
414.68,0.214
416,0.214
417.32,0.214
418.64,0.214
419.96,0.214
421.28,0.215
422.6,0.215
423.92,0.215
425.24,0.215
426.56,0.215
427.88,0.215
429.2,0.215
430.52,0.215
431.84,0.215
433.16,0.215
434.48,0.216
435.8,0.216
437.12,0.216
438.44,0.216
439.76,0.216
441.08,0.216
442.4,0.216
443.72,0.216
445.04,0.216
446.37,0.216
447.69,0.216
449.01,0.217
450.33,0.217
451.65,0.217
452.97,0.217
454.3,0.217
455.62,0.217
456.94,0.217
458.26,0.217
459.58,0.217
460.91,0.217
462.23,0.218
463.55,0.218
464.87,0.218
466.2,0.218
467.52,0.218
468.84,0.218
470.17,0.218
471.49,0.218
472.81,0.218
474.14,0.219
475.46,0.219
476.78,0.219
478.11,0.219
479.43,0.219
480.75,0.219
482.08,0.219
483.4,0.219
484.73,0.219
486.05,0.219
487.37,0.22
488.7,0.22
490.02,0.22
491.35,0.22
492.67,0.22
494,0.22
495.32,0.22
496.65,0.22
497.97,0.22
499.3,0.221
500.62,0.221
501.95,0.221
503.27,0.221
504.6,0.221
505.92,0.221
507.25,0.221
508.58,0.222
509.9,0.222
511.23,0.222
512.55,0.222
513.88,0.222
515.21,0.222
516.53,0.223
517.86,0.223
519.19,0.223
520.51,0.223
521.84,0.223
523.17,0.223
524.49,0.223
525.82,0.224
527.15,0.224
528.47,0.224
529.8,0.224
531.13,0.224
532.46,0.224
533.78,0.225
535.11,0.225
536.44,0.225
537.77,0.225
539.09,0.225
540.42,0.225
541.75,0.225
543.08,0.226
544.41,0.226
545.74,0.226
547.06,0.226
548.39,0.226
549.72,0.226
551.05,0.227
552.38,0.227
553.71,0.227
555.04,0.227
556.37,0.227
557.69,0.227
559.02,0.227
560.35,0.227
561.68,0.228
563.01,0.228
564.34,0.228
565.67,0.228
567,0.228
568.33,0.228
569.66,0.228
570.99,0.228
572.32,0.229
573.65,0.229
574.98,0.229
576.31,0.229
577.64,0.229
578.98,0.229
580.31,0.229
581.64,0.229
582.97,0.23
584.3,0.23
585.63,0.23
586.96,0.23
588.29,0.23
589.62,0.23
590.96,0.23
592.29,0.23
593.62,0.231
594.95,0.231
