wavelength,reflectance
3.90E+02,2.13E-01
3.91E+02,2.13E-01
3.92E+02,2.13E-01
3.94E+02,2.13E-01
3.95E+02,2.13E-01
3.96E+02,2.13E-01
3.98E+02,2.13E-01
3.99E+02,2.13E-01
4.00E+02,2.13E-01
4.01E+02,2.13E-01
4.03E+02,2.13E-01
4.04E+02,2.13E-01
4.05E+02,2.13E-01
4.07E+02,2.14E-01
4.08E+02,2.14E-01
4.09E+02,2.14E-01
4.11E+02,2.14E-01
4.12E+02,2.14E-01
4.13E+02,2.14E-01
4.15E+02,2.14E-01
4.16E+02,2.14E-01
4.17E+02,2.14E-01
4.19E+02,2.14E-01
4.20E+02,2.14E-01
4.21E+02,2.15E-01
4.23E+02,2.15E-01
4.24E+02,2.15E-01
4.25E+02,2.15E-01
4.27E+02,2.15E-01
4.28E+02,2.15E-01
4.29E+02,2.15E-01
4.31E+02,2.15E-01
4.32E+02,2.15E-01
4.33E+02,2.15E-01
4.34E+02,2.16E-01
4.36E+02,2.16E-01
4.37E+02,2.16E-01
4.38E+02,2.16E-01
4.40E+02,2.16E-01
4.41E+02,2.16E-01
4.42E+02,2.16E-01
4.44E+02,2.16E-01
4.45E+02,2.16E-01
4.46E+02,2.16E-01
4.48E+02,2.16E-01
4.49E+02,2.17E-01
4.50E+02,2.17E-01
4.52E+02,2.17E-01
4.53E+02,2.17E-01
4.54E+02,2.17E-01
4.56E+02,2.17E-01
4.57E+02,2.17E-01
4.58E+02,2.17E-01
4.60E+02,2.17E-01
4.61E+02,2.17E-01
4.62E+02,2.18E-01
4.64E+02,2.18E-01
4.65E+02,2.18E-01
4.66E+02,2.18E-01
4.68E+02,2.18E-01
4.69E+02,2.18E-01
4.70E+02,2.18E-01
4.71E+02,2.18E-01
4.73E+02,2.18E-01
4.74E+02,2.19E-01
4.75E+02,2.19E-01
4.77E+02,2.19E-01
4.78E+02,2.19E-01
4.79E+02,2.19E-01
4.81E+02,2.19E-01
4.82E+02,2.19E-01
4.83E+02,2.19E-01
4.85E+02,2.19E-01
4.86E+02,2.19E-01
4.87E+02,2.20E-01
4.89E+02,2.20E-01
4.90E+02,2.20E-01
4.91E+02,2.20E-01
4.93E+02,2.20E-01
4.94E+02,2.20E-01
4.95E+02,2.20E-01
4.97E+02,2.20E-01
4.98E+02,2.20E-01
4.99E+02,2.21E-01
